date,station_id,time,precipitation total 12h
20230819,488250,07:00pm,0.7mm
20230820,488250,07:00pm,46.0mm
20230824,488250,07:00am,6.0mm
20230825,488250,07:00am,0.4mm
20230826,488250,07:00pm,2.0mm
20230827,488250,07:00am,18.0mm
20230827,488250,07:00pm,0.1mm
20230828,488250,07:00am,13.0mm
20230828,488250,07:00pm,0.2mm
20230903,488250,07:00pm,~0.0mm
20230904,488250,07:00am,13.0mm
20230904,488250,07:00pm,1.0mm
20230908,488250,07:00am,36.0mm
20230908,488250,07:00pm,0.3mm
20230909,488250,07:00pm,0.3mm
20230910,488250,07:00am,2.0mm
20230910,488250,07:00pm,13.0mm
20230911,488250,07:00pm,~0.0mm
20230913,488250,07:00am,11.0mm
20230913,488250,07:00pm,0.1mm
20230914,488250,07:00am,15.0mm
20230914,488250,07:00pm,51.0mm
20230915,488250,07:00am,3.0mm
20230915,488250,07:00pm,0.4mm
20230917,488250,07:00am,0.6mm
20230917,488250,07:00pm,9.0mm
20230918,488250,07:00am,3.0mm
20230924,488250,07:00pm,~0.0mm
20230925,488250,07:00pm,21.0mm
20230926,488250,07:00pm,9.0mm
20230927,488250,07:00am,6.0mm
20230927,488250,07:00pm,8.0mm
20230928,488250,07:00am,53.0mm
20230928,488250,07:00pm,121.0mm
20230929,488250,07:00am,0.5mm
20230929,488250,07:00pm,0.1mm
20231007,488250,07:00pm,1.0mm
20231010,488250,07:00am,~0.0mm
20231010,488250,07:00pm,0.1mm
20231012,488250,07:00pm,0.1mm
20231024,488250,07:00pm,0.1mm
20231025,488250,07:00am,0.7mm
20231028,488250,07:00am,2.0mm
20231028,488250,07:00pm,0.2mm
20231029,488250,07:00am,4.0mm
20231029,488250,07:00pm,0.2mm
20231030,488250,07:00am,14.0mm
20231106,488250,07:00pm,0.7mm
20231107,488250,07:00am,23.0mm
20231107,488250,07:00pm,~0.0mm
20231112,488250,07:00pm,30.0mm
20231113,488250,07:00am,3.0mm
20231113,488250,07:00pm,6.0mm
20231114,488250,07:00am,~0.0mm
20231116,488250,07:00am,0.3mm
20231201,488250,07:00am,11.0mm
20231201,488250,07:00pm,9.0mm
20231203,488250,07:00pm,~0.0mm
20231205,488250,07:00pm,~0.0mm
20231206,488250,07:00am,1.0mm
20231206,488250,07:00pm,0.7mm
20231212,488250,07:00pm,~0.0mm
20231216,488250,07:00pm,~0.0mm
20231217,488250,07:00am,~0.0mm
20231219,488250,07:00am,~0.0mm
20231219,488250,07:00pm,~0.0mm
20231230,488250,07:00am,0.6mm
20231230,488250,07:00pm,0.1mm
20231231,488250,07:00am,0.1mm
