date,station_id,time,humidity
20190108,488200,12:00pm,100%
20190108,488200,01:00pm,100%
20190108,488200,02:00pm,100%
20190108,488200,03:00pm,100%
20190108,488200,04:00pm,100%
20190108,488200,05:00pm,94%
20190108,488200,06:00pm,94%
20190108,488200,07:00pm,94%
20190108,488200,08:00pm,94%
20190108,488200,09:00pm,88%
20190108,488200,10:00pm,88%
20190108,488200,11:00pm,82%
20190109,488200,12:00am,100%
20190109,488200,01:00am,100%
20190109,488200,02:00am,100%
20190109,488200,03:00am,100%
20190109,488200,04:00am,100%
20190109,488200,05:00am,100%
20190109,488200,06:00am,100%
20190109,488200,07:00am,100%
20190109,488200,08:00am,100%
20190109,488200,09:00am,100%
20190109,488200,10:00am,100%
20190109,488200,11:00am,100%
20190109,488200,12:00pm,100%
20190109,488200,01:00pm,100%
20190109,488200,02:00pm,100%
20190109,488200,03:00pm,100%
20190109,488200,04:00pm,100%
20190109,488200,05:00pm,100%
20190109,488200,06:00pm,100%
20190109,488200,07:00pm,100%
20190109,488200,08:00pm,100%
20190109,488200,09:00pm,100%
20190109,488200,10:00pm,100%
20190109,488200,11:00pm,100%
20190110,488200,12:00am,100%
20190110,488200,01:00am,100%
20190110,488200,02:00am,100%
20190110,488200,03:00am,100%
20190110,488200,04:00am,100%
20190110,488200,05:00am,100%
20190110,488200,06:00am,100%
20190110,488200,07:00am,100%
20190110,488200,08:00am,100%
20190110,488200,09:00am,100%
20190110,488200,10:00am,100%
20190110,488200,11:00am,100%
20190110,488200,12:00pm,100%
20190110,488200,01:00pm,100%
20190110,488200,02:00pm,39%
20190110,488200,03:00pm,100%
20190110,488200,04:00pm,100%
20190110,488200,05:00pm,100%
20190110,488200,06:00pm,100%
20190110,488200,07:00pm,100%
20190110,488200,08:00pm,100%
20190110,488200,09:00pm,100%
20190110,488200,10:00pm,100%
20190110,488200,11:00pm,100%
20190111,488200,12:00am,100%
20190111,488200,01:00am,100%
20190111,488200,02:00am,100%
20190111,488200,03:00am,100%
20190111,488200,04:00am,100%
20190111,488200,05:00am,100%
20190111,488200,06:00am,100%
20190111,488200,07:00am,100%
20190111,488200,08:00am,100%
20190111,488200,09:00am,100%
20190111,488200,10:00am,100%
20190111,488200,11:00am,100%
20190111,488200,12:00pm,100%
20190111,488200,01:00pm,94%
20190111,488200,02:00pm,94%
20190111,488200,03:00pm,94%
20190111,488200,04:00pm,100%
20190111,488200,05:00pm,100%
20190111,488200,06:00pm,100%
20190111,488200,07:00pm,100%
20190111,488200,08:00pm,100%
20190111,488200,09:00pm,100%
20190111,488200,10:00pm,100%
20190112,488200,12:00am,100%
20190112,488200,01:00am,100%
20190112,488200,02:00am,100%
20190112,488200,03:00am,100%
20190112,488200,04:00am,100%
20190112,488200,05:00am,100%
20190112,488200,06:00am,100%
20190112,488200,07:00am,100%
20190112,488200,08:00am,100%
20190112,488200,09:00am,100%
20190112,488200,10:00am,100%
20190112,488200,11:00am,100%
20190112,488200,12:00pm,94%
20190112,488200,01:00pm,88%
20190112,488200,02:00pm,83%
20190112,488200,03:00pm,83%
20190112,488200,04:00pm,88%
20190112,488200,05:00pm,83%
20190112,488200,06:00pm,94%
20190112,488200,07:00pm,100%
20190112,488200,08:00pm,100%
20190112,488200,09:00pm,100%
20190112,488200,10:00pm,100%
20190112,488200,11:00pm,100%
20190113,488200,12:00am,100%
20190113,488200,01:00am,100%
20190113,488200,02:00am,100%
20190113,488200,03:00am,100%
20190113,488200,04:00am,100%
20190113,488200,05:00am,100%
20190113,488200,06:00am,100%
20190113,488200,07:00am,100%
20190113,488200,08:00am,100%
20190113,488200,09:00am,100%
20190113,488200,10:00am,100%
20190113,488200,11:00am,94%
20190113,488200,12:00pm,88%
20190113,488200,01:00pm,88%
20190113,488200,02:00pm,83%
20190113,488200,03:00pm,88%
20190113,488200,04:00pm,88%
20190113,488200,05:00pm,88%
20190113,488200,06:00pm,94%
20190113,488200,07:00pm,88%
20190113,488200,08:00pm,94%
20190113,488200,09:00pm,94%
20190113,488200,10:00pm,100%
20190113,488200,11:00pm,94%
20190114,488200,12:00am,100%
20190114,488200,01:00am,100%
20190114,488200,02:00am,100%
20190114,488200,03:00am,100%
20190114,488200,04:00am,100%
20190114,488200,05:00am,100%
20190114,488200,06:00am,100%
20190114,488200,07:00am,100%
20190114,488200,08:00am,100%
20190114,488200,09:00am,100%
20190114,488200,10:00am,100%
20190114,488200,11:00am,100%
20190114,488200,12:00pm,100%
20190114,488200,01:00pm,94%
20190114,488200,02:00pm,89%
20190114,488200,03:00pm,74%
20190114,488200,04:00pm,78%
20190114,488200,05:00pm,78%
20190114,488200,06:00pm,88%
20190114,488200,07:00pm,94%
20190114,488200,08:00pm,100%
20190114,488200,09:00pm,100%
20190114,488200,10:00pm,100%
20190114,488200,11:00pm,100%
20190115,488200,12:00am,67%
20190115,488200,01:00am,67%
20190115,488200,02:00am,67%
20190115,488200,03:00am,67%
20190115,488200,04:00am,67%
20190115,488200,05:00am,67%
20190115,488200,06:00am,72%
20190115,488200,07:00am,100%
20190115,488200,08:00am,100%
20190115,488200,09:00am,100%
20190115,488200,10:00am,94%
20190115,488200,11:00am,94%
20190115,488200,12:00pm,88%
20190115,488200,01:00pm,88%
20190115,488200,02:00pm,94%
20190115,488200,03:00pm,83%
20190115,488200,04:00pm,83%
20190115,488200,05:00pm,77%
20190115,488200,06:00pm,72%
20190115,488200,07:00pm,72%
20190115,488200,08:00pm,68%
20190115,488200,09:00pm,72%
20190115,488200,10:00pm,68%
20190115,488200,11:00pm,63%
20190116,488200,12:00am,88%
20190116,488200,01:00am,88%
20190116,488200,02:00am,88%
20190116,488200,03:00am,88%
20190116,488200,04:00am,77%
20190116,488200,05:00am,71%
20190116,488200,06:00am,67%
20190116,488200,07:00am,72%
20190116,488200,08:00am,72%
20190116,488200,09:00am,72%
20190116,488200,10:00am,72%
20190116,488200,11:00am,72%
20190116,488200,12:00pm,88%
20190116,488200,01:00pm,94%
20190116,488200,02:00pm,82%
20190116,488200,03:00pm,94%
20190116,488200,04:00pm,100%
20190116,488200,05:00pm,100%
20190116,488200,06:00pm,100%
20190116,488200,07:00pm,100%
20190116,488200,08:00pm,100%
20190116,488200,09:00pm,100%
20190116,488200,10:00pm,88%
20190116,488200,11:00pm,88%
20190117,488200,12:00am,77%
20190117,488200,01:00am,77%
20190117,488200,02:00am,72%
20190117,488200,03:00am,72%
20190117,488200,04:00am,72%
20190117,488200,05:00am,72%
20190117,488200,06:00am,72%
20190117,488200,07:00am,67%
20190117,488200,08:00am,67%
20190117,488200,09:00am,67%
20190117,488200,10:00am,67%
20190117,488200,11:00am,63%
20190117,488200,12:00pm,63%
20190117,488200,01:00pm,63%
20190117,488200,02:00pm,63%
20190117,488200,03:00pm,63%
20190117,488200,04:00pm,63%
20190117,488200,05:00pm,63%
20190117,488200,06:00pm,67%
20190117,488200,07:00pm,63%
20190117,488200,08:00pm,72%
20190117,488200,09:00pm,72%
20190117,488200,10:00pm,67%
20190117,488200,11:00pm,72%
20190118,488200,12:00am,94%
20190118,488200,01:00am,94%
20190118,488200,02:00am,88%
20190118,488200,03:00am,82%
20190118,488200,04:00am,82%
20190118,488200,05:00am,82%
20190118,488200,06:00am,82%
20190118,488200,07:00am,72%
20190118,488200,08:00am,77%
20190118,488200,09:00am,67%
20190118,488200,10:00am,67%
20190118,488200,11:00am,68%
20190118,488200,12:30pm,68%
20190118,488200,01:00pm,68%
20190118,488200,02:00pm,68%
20190118,488200,03:00pm,68%
20190118,488200,04:00pm,68%
20190118,488200,05:00pm,68%
20190118,488200,06:00pm,72%
20190118,488200,07:00pm,72%
20190118,488200,08:00pm,77%
20190118,488200,09:00pm,77%
20190118,488200,10:00pm,94%
20190118,488200,11:00pm,94%
20190119,488200,12:00am,78%
20190119,488200,01:00am,83%
20190119,488200,02:00am,94%
20190119,488200,03:00am,88%
20190119,488200,04:00am,83%
20190119,488200,05:00am,100%
20190119,488200,06:00am,100%
20190119,488200,07:00am,88%
20190119,488200,08:00am,94%
20190119,488200,09:00am,82%
20190119,488200,10:00am,77%
20190119,488200,11:00am,68%
20190119,488200,12:00pm,64%
20190119,488200,01:00pm,68%
20190119,488200,02:00pm,68%
20190119,488200,03:00pm,64%
20190119,488200,04:00pm,64%
20190119,488200,05:00pm,64%
20190119,488200,06:00pm,68%
20190119,488200,07:00pm,68%
20190119,488200,08:00pm,73%
20190119,488200,09:00pm,83%
20190119,488200,10:00pm,83%
20190119,488200,11:00pm,83%
20190120,488200,12:00am,100%
20190120,488200,01:00am,100%
20190120,488200,02:00am,94%
20190120,488200,03:00am,100%
20190120,488200,04:00am,88%
20190120,488200,05:00am,88%
20190120,488200,06:00am,82%
20190120,488200,07:00am,100%
20190120,488200,08:00am,100%
20190120,488200,09:00am,100%
20190120,488200,10:00am,100%
20190120,488200,11:00am,100%
20190120,488200,12:00pm,100%
20190120,488200,01:00pm,100%
20190120,488200,02:00pm,100%
20190120,488200,03:00pm,100%
20190120,488200,04:00pm,94%
20190120,488200,05:00pm,94%
20190120,488200,06:00pm,100%
20190120,488200,07:00pm,100%
20190120,488200,08:00pm,100%
20190120,488200,09:00pm,100%
20190120,488200,10:00pm,100%
20190120,488200,11:00pm,100%
20190121,488200,12:00am,67%
20190121,488200,01:00am,63%
20190121,488200,02:00am,63%
20190121,488200,03:00am,63%
20190121,488200,04:00am,63%
20190121,488200,05:00am,63%
20190121,488200,06:00am,63%
20190121,488200,07:00am,82%
20190121,488200,08:00am,94%
20190121,488200,09:00am,82%
20190121,488200,10:00am,82%
20190121,488200,11:00am,72%
20190121,488200,12:00pm,72%
20190121,488200,01:00pm,72%
20190121,488200,02:00pm,63%
20190121,488200,03:00pm,63%
20190121,488200,04:00pm,59%
20190121,488200,05:00pm,63%
20190121,488200,06:00pm,67%
20190121,488200,07:00pm,67%
20190121,488200,08:00pm,67%
20190121,488200,09:00pm,67%
20190121,488200,10:00pm,63%
