date,station_id,time,wind speed
20190109,488200,12:00am,7
20190109,488200,01:00am,7
20190109,488200,02:00am,9
20190109,488200,03:00am,6
20190109,488200,04:00am,4
20190109,488200,05:00am,7
20190109,488200,06:00am,6
20190109,488200,07:00am,9
20190109,488200,08:00am,15
20190109,488200,09:00am,11
20190109,488200,10:00am,9
20190109,488200,11:00am,13
20190109,488200,12:00pm,11
20190109,488200,01:00pm,17
20190109,488200,02:00pm,11
20190109,488200,03:00pm,11
20190109,488200,04:00pm,9
20190109,488200,05:00pm,9
20190109,488200,06:00pm,9
20190109,488200,07:00pm,7
20190109,488200,08:00pm,6
20190109,488200,09:00pm,6
20190109,488200,10:00pm,6
20190109,488200,11:00pm,7
20190110,488200,12:00am,2
20190110,488200,01:00am,2
20190110,488200,02:00am,4
20190110,488200,03:00am,6
20190110,488200,04:00am,0
20190110,488200,05:00am,4
20190110,488200,06:00am,4
20190110,488200,07:00am,7
20190110,488200,08:00am,4
20190110,488200,09:00am,7
20190110,488200,10:00am,6
20190110,488200,11:00am,4
20190110,488200,12:00pm,4
20190110,488200,01:00pm,6
20190110,488200,02:00pm,4
20190110,488200,03:00pm,6
20190110,488200,04:00pm,4
20190110,488200,05:00pm,11
20190110,488200,06:00pm,6
20190110,488200,07:00pm,4
20190110,488200,08:00pm,4
20190110,488200,09:00pm,4
20190110,488200,10:00pm,4
20190110,488200,11:00pm,6
20190111,488200,12:00am,2
20190111,488200,01:00am,2
20190111,488200,02:00am,6
20190111,488200,03:00am,2
20190111,488200,04:00am,4
20190111,488200,05:00am,0
20190111,488200,06:00am,0
20190111,488200,07:00am,4
20190111,488200,08:00am,0
20190111,488200,09:00am,0
20190111,488200,10:00am,6
20190111,488200,11:00am,6
20190111,488200,12:00pm,2
20190111,488200,01:00pm,7
20190111,488200,02:00pm,6
20190111,488200,03:00pm,4
20190111,488200,04:00pm,2
20190111,488200,05:00pm,6
20190111,488200,06:00pm,6
20190111,488200,07:00pm,7
20190111,488200,08:00pm,6
20190111,488200,09:00pm,6
20190111,488200,10:00pm,2
20190111,488200,11:00pm,4
20190112,488200,12:00am,9
20190112,488200,01:00am,11
20190112,488200,02:00am,9
20190112,488200,03:00am,9
20190112,488200,04:00am,11
20190112,488200,05:00am,6
20190112,488200,06:00am,9
20190112,488200,07:00am,4
20190112,488200,08:00am,2
20190112,488200,09:00am,6
20190112,488200,10:00am,7
20190112,488200,11:00am,9
20190112,488200,12:00pm,11
20190112,488200,01:00pm,9
20190112,488200,02:00pm,7
20190112,488200,03:00pm,13
20190112,488200,04:00pm,13
20190112,488200,05:00pm,13
20190112,488200,06:00pm,11
20190112,488200,07:00pm,9
20190112,488200,08:00pm,11
20190112,488200,09:00pm,9
20190112,488200,10:00pm,13
20190112,488200,11:00pm,9
20190113,488200,12:00am,11
20190113,488200,01:00am,11
20190113,488200,02:00am,11
20190113,488200,03:00am,9
20190113,488200,04:00am,11
20190113,488200,05:00am,13
20190113,488200,06:00am,11
20190113,488200,07:00am,7
20190113,488200,08:00am,7
20190113,488200,09:00am,11
20190113,488200,10:00am,11
20190113,488200,11:00am,9
20190113,488200,12:00pm,9
20190113,488200,01:00pm,6
20190113,488200,02:00pm,7
20190113,488200,03:00pm,11
20190113,488200,04:00pm,11
20190113,488200,05:00pm,11
20190113,488200,06:00pm,15
20190113,488200,07:00pm,17
20190113,488200,08:00pm,17
20190113,488200,09:00pm,15
20190113,488200,10:00pm,11
20190113,488200,11:00pm,11
20190114,488200,12:00am,13
20190114,488200,01:00am,11
20190114,488200,02:00am,9
20190114,488200,03:00am,9
20190114,488200,04:00am,7
20190114,488200,05:00am,7
20190114,488200,06:00am,6
20190114,488200,07:00am,11
20190114,488200,08:00am,9
20190114,488200,09:00am,9
20190114,488200,10:00am,11
20190114,488200,11:00am,13
20190114,488200,12:00pm,11
20190114,488200,01:00pm,13
20190114,488200,02:00pm,13
20190114,488200,03:00pm,15
20190114,488200,04:00pm,17
20190114,488200,05:00pm,17
20190114,488200,06:00pm,13
20190114,488200,07:00pm,19
20190114,488200,08:00pm,15
20190114,488200,09:00pm,17
20190114,488200,10:00pm,15
20190114,488200,11:00pm,17
20190115,488200,12:00am,17
20190115,488200,01:00am,13
20190115,488200,02:00am,15
20190115,488200,03:00am,13
20190115,488200,04:00am,11
20190115,488200,05:00am,13
20190115,488200,06:00am,15
20190115,488200,07:00am,6
20190115,488200,08:00am,7
20190115,488200,09:00am,9
20190115,488200,10:00am,11
20190115,488200,11:00am,11
20190115,488200,12:00pm,15
20190115,488200,01:00pm,17
20190115,488200,02:00pm,19
20190115,488200,03:00pm,24
20190115,488200,04:00pm,17
20190115,488200,05:00pm,22
20190115,488200,06:00pm,22
20190115,488200,07:00pm,22
20190115,488200,08:00pm,19
20190115,488200,09:00pm,22
20190115,488200,10:00pm,22
20190115,488200,11:00pm,17
20190116,488200,12:00am,11
20190116,488200,01:00am,17
20190116,488200,02:00am,13
20190116,488200,03:00am,11
20190116,488200,04:00am,13
20190116,488200,05:00am,13
20190116,488200,06:00am,15
20190116,488200,07:00am,15
20190116,488200,08:00am,15
20190116,488200,09:00am,15
20190116,488200,10:00am,17
20190116,488200,11:00am,13
20190116,488200,12:00pm,19
20190116,488200,01:00pm,15
20190116,488200,02:00pm,11
20190116,488200,03:00pm,17
20190116,488200,04:00pm,11
20190116,488200,05:00pm,13
20190116,488200,06:00pm,7
20190116,488200,07:00pm,7
20190116,488200,08:00pm,7
20190116,488200,09:00pm,9
20190116,488200,10:00pm,7
20190116,488200,11:00pm,11
20190117,488200,12:00am,4
20190117,488200,01:00am,7
20190117,488200,02:00am,6
20190117,488200,03:00am,7
20190117,488200,04:00am,7
20190117,488200,05:00am,7
20190117,488200,06:00am,7
20190117,488200,07:00am,15
20190117,488200,08:00am,11
20190117,488200,09:00am,11
20190117,488200,10:00am,13
20190117,488200,11:00am,11
20190117,488200,12:00pm,9
20190117,488200,01:00pm,9
20190117,488200,02:00pm,11
20190117,488200,03:00pm,9
20190117,488200,04:00pm,9
20190117,488200,05:00pm,7
20190117,488200,06:00pm,4
20190117,488200,07:00pm,4
20190117,488200,08:00pm,6
20190117,488200,09:00pm,6
20190117,488200,10:00pm,4
20190117,488200,11:00pm,4
20190118,488200,12:00am,4
20190118,488200,01:00am,6
20190118,488200,02:00am,4
20190118,488200,03:00am,2
20190118,488200,04:00am,0
20190118,488200,05:00am,2
20190118,488200,06:00am,4
20190118,488200,07:00am,9
20190118,488200,08:00am,9
20190118,488200,09:00am,7
20190118,488200,10:00am,9
20190118,488200,11:00am,7
20190118,488200,12:30pm,7
20190118,488200,01:00pm,9
20190118,488200,02:00pm,7
20190118,488200,03:00pm,9
20190118,488200,04:00pm,7
20190118,488200,05:00pm,7
20190118,488200,06:00pm,4
20190118,488200,07:00pm,6
20190118,488200,08:00pm,6
20190118,488200,09:00pm,4
20190118,488200,10:00pm,0
20190118,488200,11:00pm,4
20190119,488200,12:00am,4
20190119,488200,01:00am,6
20190119,488200,02:00am,4
20190119,488200,03:00am,4
20190119,488200,04:00am,4
20190119,488200,05:00am,4
