date,station_id,time,humidity
20200101,488200,07:00am,78%
20200101,488200,08:00am,78%
20200101,488200,09:00am,73%
20200101,488200,10:00am,69%
20200101,488200,11:00am,69%
20200101,488200,12:00pm,65%
20200101,488200,01:00pm,69%
20200101,488200,02:00pm,65%
20200101,488200,03:00pm,69%
20200101,488200,04:00pm,69%
20200101,488200,05:00pm,69%
20200101,488200,06:00pm,73%
20200101,488200,07:00pm,73%
20200101,488200,08:00pm,78%
20200101,488200,09:00pm,83%
20200101,488200,10:00pm,83%
20200101,488200,11:00pm,88%
20200101,488200,12:00am,88%
20200101,488200,01:00am,88%
20200101,488200,02:00am,83%
20200101,488200,03:00am,88%
20200101,488200,04:00am,88%
20200101,488200,05:00am,88%
20200101,488200,06:00am,88%
20200102,488200,07:00am,88%
20200102,488200,08:00am,94%
20200102,488200,09:00am,83%
20200102,488200,10:00am,78%
20200102,488200,11:00am,73%
20200102,488200,12:00pm,73%
20200102,488200,01:00pm,69%
20200102,488200,02:00pm,69%
20200102,488200,03:00pm,69%
20200102,488200,04:00pm,69%
20200102,488200,05:00pm,69%
20200102,488200,06:00pm,78%
20200102,488200,07:00pm,83%
20200102,488200,08:00pm,88%
20200102,488200,09:00pm,88%
20200102,488200,10:00pm,88%
20200102,488200,11:00pm,88%
20200102,488200,12:00am,88%
20200102,488200,01:00am,83%
20200102,488200,02:00am,83%
20200102,488200,03:00am,83%
20200102,488200,04:00am,83%
20200102,488200,05:00am,83%
20200102,488200,06:00am,83%
20200103,488200,07:00am,94%
20200103,488200,08:00am,88%
20200103,488200,09:00am,83%
20200103,488200,10:00am,78%
20200103,488200,11:00am,69%
20200103,488200,12:00pm,65%
20200103,488200,01:00pm,65%
20200103,488200,02:00pm,61%
20200103,488200,03:00pm,61%
20200103,488200,04:00pm,61%
20200103,488200,05:00pm,65%
20200103,488200,06:00pm,69%
20200103,488200,07:00pm,73%
20200103,488200,08:00pm,78%
20200103,488200,09:00pm,78%
