date,station_id,time,humidity
20220101,488200,12:00am,77%
20220101,488200,01:00am,77%
20220101,488200,02:00am,77%
20220101,488200,03:00am,72%
20220101,488200,04:00am,72%
20220101,488200,05:00am,72%
20220101,488200,06:00am,82%
20220101,488200,07:00am,82%
20220101,488200,08:00am,82%
20220101,488200,09:00am,77%
20220101,488200,10:00am,77%
20220101,488200,11:00am,77%
20220101,488200,12:00pm,77%
20220101,488200,01:00pm,77%
20220101,488200,02:00pm,77%
20220101,488200,03:00pm,82%
20220101,488200,04:00pm,82%
20220101,488200,05:00pm,82%
20220101,488200,06:00pm,77%
20220101,488200,07:00pm,77%
20220101,488200,08:00pm,77%
20220101,488200,09:00pm,77%
20220101,488200,10:00pm,77%
20220101,488200,11:00pm,77%
20220102,488200,12:00am,100%
20220102,488200,01:00am,94%
20220102,488200,02:00am,100%
20220102,488200,03:00am,100%
20220102,488200,04:00am,100%
20220102,488200,05:00am,100%
20220102,488200,06:00am,94%
20220102,488200,07:00am,77%
20220102,488200,08:00am,77%
20220102,488200,09:00am,72%
20220102,488200,10:00am,68%
20220102,488200,11:00am,72%
20220102,488200,12:00pm,64%
20220102,488200,01:00pm,64%
20220102,488200,02:00pm,60%
20220102,488200,03:00pm,60%
20220102,488200,04:00pm,64%
20220102,488200,05:00pm,68%
20220102,488200,06:00pm,64%
20220102,488200,07:00pm,82%
20220102,488200,08:00pm,88%
20220102,488200,09:00pm,88%
20220102,488200,10:00pm,94%
20220102,488200,11:00pm,94%
20220103,488200,12:00am,94%
20220103,488200,01:00am,88%
20220103,488200,02:00am,88%
20220103,488200,03:00am,88%
20220103,488200,04:00am,88%
20220103,488200,05:00am,88%
20220103,488200,06:00am,88%
20220103,488200,07:00am,100%
20220103,488200,08:00am,94%
20220103,488200,09:00am,88%
20220103,488200,10:00am,88%
20220103,488200,11:00am,82%
20220103,488200,12:00pm,77%
20220103,488200,01:00pm,68%
20220103,488200,02:00pm,68%
20220103,488200,03:00pm,68%
20220103,488200,04:00pm,68%
20220103,488200,05:00pm,68%
20220103,488200,06:00pm,78%
20220103,488200,07:00pm,78%
20220103,488200,08:00pm,78%
20220103,488200,09:00pm,83%
20220103,488200,10:00pm,83%
20220103,488200,11:00pm,88%
20220104,488200,12:00am,88%
20220104,488200,01:00am,88%
20220104,488200,02:00am,88%
20220104,488200,03:00am,88%
20220104,488200,04:00am,94%
20220104,488200,05:00am,94%
20220104,488200,06:00am,100%
20220104,488200,07:00am,88%
20220104,488200,08:00am,83%
